,0
1869.6568920440586,29226
1869.6569923008813,28451
1869.6570925526185,28057
1869.657192799371,27151
1869.6572930412376,26746
1869.6573932783144,26325
1869.6574935106973,25471
1869.6575937384787,24824
1869.6576939617494,24541
1869.6577941805992,23784
1869.6578943951158,23250
1869.6579946053844,22631
1869.6580948114893,21985
1869.6581950135133,21681
1869.6582952115368,21014
1869.658395405639,20583
1869.6584955958979,20080
1869.6585957823895,19483
1869.6586959651881,18940
1869.6587961443672,18856
1869.6588963199983,17831
1869.6589964921518,17518
1869.6590966608962,16965
1869.6591968262994,16794
1869.6592969884273,16155
1869.6593971473449,15731
1869.6594973031156,15354
1869.659597455802,14964
1869.659697605465,14299
1869.6597977521646,14281
1869.6598978959591,13610
1869.6599980369065,13343
1869.6600981750626,12895
1869.6601983104833,12544
1869.6602984432225,12251
1869.6603985733332,11684
1869.6604987008675,11498
1869.6605988258766,11220
1869.6606989484103,10838
1869.6607990685177,10408
1869.6608991862468,10087
1869.6609993016446,9819
1869.6610994147572,9574
1869.6611995256303,9458
1869.6612996343079,9096
1869.6613997408335,8780
1869.6614998452499,8569
1869.6615999475987,8434
1869.661700047921,8042
1869.6618001462564,7931
1869.6619002426446,7681
1869.6620003371245,7363
1869.6621004297335,7170
1869.6622005205086,6906
1869.6623006094862,6697
1869.6624006967022,6507
1869.662500782191,6386
1869.6626008659873,6265
1869.662700948124,5936
1869.6628010286342,5923
1869.6629011075502,5777
1869.6630011849038,5513
1869.6631012607256,5371
1869.6632013350459,5220
1869.6633014078948,5034
1869.6634014793012,5001
1869.6635015492934,4727
1869.6636016179,4676
1869.6637016851478,4560
1869.663801751064,4393
1869.6639018156752,4327
1869.6640018790067,4172
1869.6641019410845,4070
1869.6642020019326,4024
1869.6643020615763,3924
1869.664402120039,3932
1869.6645021773438,3671
1869.664602233514,3466
1869.6647022885718,3503
1869.6648023425396,3423
1869.6649023954387,3294
1869.6650024472901,3254
1869.6651024981152,3103
1869.6652025479339,3036
1869.6653025967657,3055
1869.6654026446308,3015
1869.665502691548,2857
1869.6656027375361,2727
1869.6657027826138,2749
1869.6658028267989,2650
1869.665902870109,2666
1869.6660029125615,2532
1869.6661029541733,2456
1869.6662029949614,2378
1869.6663030349416,2311
1869.6664030741304,2376
1869.6665031125428,2301
1869.6666031501948,2177
1869.6667031871011,2114
1869.6668032232767,2118
1869.666903258736,1945
1869.6670032934935,1935
1869.6671033275625,1826
1869.6672033609566,1848
1869.6673033936895,1847
1869.6674034257744,1703
1869.667503457224,1789
1869.667603488051,1706
1869.6677035182674,1654
1869.6678035478853,1685
1869.667903576917,1560
1869.668003605374,1522
1869.6681036332673,1531
1869.668203660608,1443
1869.6683036874078,1422
1869.6684037136765,1378
1869.6685037394254,1364
1869.668603764664,1287
1869.6687037894035,1315
1869.6688038136526,1231
1869.6689038374218,1207
1869.6690038607203,1173
1869.6691038835575,1145
1869.6692039059421,1150
1869.6693039278837,1117
1869.669403949391,1061
1869.669503970472,1049
1869.6696039911358,1015
1869.6697040113906,1024
1869.6698040312444,1030
1869.6699040507049,946
1869.6700040697801,969
1869.6701040884773,925
1869.6702041068047,803
1869.6703041247688,824
1869.6704041423773,805
1869.6705041596372,794
1869.6706041765556,769
1869.6707041931386,726
1869.6708042093933,768
1869.6709042253262,701
1869.6710042409436,713
1869.6711042562517,740
1869.6712042712568,700
1869.6713042859647,694
1869.6714043003813,612
1869.6715043145127,589
1869.671604328364,562
1869.6717043419412,595
1869.6718043552494,573
1869.6719043682942,592
1869.6720043810806,548
1869.6721043936138,534
1869.6722044058988,544
1869.6723044179407,532
1869.6724044297443,462
1869.672504441314,487
1869.6726044526545,486
1869.6727044637705,417
1869.6728044746665,447
1869.6729044853464,429
1869.6730044958151,404
1869.6731045060765,431
1869.6732045161348,378
1869.6733045259937,382
1869.6734045356575,369
1869.67350454513,318
1869.6736045544149,335
1869.673704563516,332
1869.6738045724364,309
1869.6739045811808,292
1869.6740045897518,318
1869.674104598153,328
1869.674204606388,299
1869.67430461446,264
1869.674404622372,286
1869.6745046301273,281
1869.674604637729,255
1869.6747046451803,268
1869.674804652484,256
1869.674904659643,231
1869.6750046666602,221
1869.6751046735387,242
1869.675204680281,207
1869.6753046868898,184
1869.6754046933677,190
1869.6755046997173,175
1869.675604705941,177
1869.6757047120416,184
1869.6758047180215,183
1869.6759047238827,155
1869.676004729628,175
1869.6761047352597,129
1869.67620474078,154
1869.6763047461905,167
1869.676404751494,145
1869.6765047566926,146
1869.6766047617882,129
1869.6767047667831,136
1869.6768047716787,140
1869.6769047764776,120
1869.6770047811815,135
1869.6771047857924,119
1869.6772047903119,126
1869.6773047947418,98
1869.677404799084,103
1869.67750480334,100
1869.6776048075121,100
1869.6777048116014,108
1869.6778048156098,89
1869.677904819539,92
1869.6780048233902,77
1869.678104827165,75
1869.6782048308653,92
1869.6783048344923,84
1869.6784048380473,67
1869.678504841532,66
1869.6786048449476,79
1869.6787048482956,68
1869.6788048515778,72
1869.6789048547944,62
1869.6790048579476,62
1869.6791048610382,67
1869.6792048640677,60
1869.679304867037,55
1869.6794048699476,57
1869.6795048728009,46
1869.6796048755973,47
1869.6797048783385,47
1869.6798048810256,33
1869.6799048836592,44
1869.6800048862406,51
1869.680104888771,49
1869.6802048912514,32
1869.6803048936827,36
1869.6804048960657,42
1869.6805048984015,47
1869.680604900691,46
1869.6807049029353,22
1869.6808049051351,29
1869.6809049072915,38
1869.6810049094051,33
1869.6811049114767,23
1869.6812049135074,29
1869.681304915498,26
1869.681404917449,29
1869.6815049193615,28
1869.6816049212362,19
1869.6817049230738,29
1869.6818049248748,24
1869.68190492664,12
1869.6820049283706,19
1869.6821049300668,19
1869.6822049317293,20
1869.6823049333589,22
1869.6824049349566,19
1869.6825049365225,13
1869.682604938057,21
1869.6827049395615,17
1869.682804941036,16
1869.6829049424814,16
1869.6830049438981,9
1869.683104945287,14
1869.683204946648,17
1869.6833049479824,7
1869.6834049492904,13
1869.6835049505721,15
1869.6836049518288,15
1869.6837049530604,12
1869.6838049542678,12
1869.6839049554512,20
1869.6840049566113,8
1869.684104957748,7
1869.6842049588627,11
1869.6843049599552,6
1869.6844049610258,7
1869.6845049620756,3
1869.6846049631042,5
1869.6847049641126,5
1869.6848049651012,7
1869.68490496607,10
1869.6850049670195,3
1869.6851049679503,6
1869.685204968863,6
1869.6853049697575,4
1869.6854049706342,5
1869.6855049714934,3
1869.6856049723356,2
1869.6857049731611,1
1869.6858049739703,9
1869.6859049747636,1
1869.6860049755414,4
1869.6861049763036,6
1869.6862049770507,7
1869.686304977783,4
1869.6864049785006,1
1869.686504979204,3
1869.6866049798937,2
1869.6867049805696,3
1869.6868049812322,0
1869.6869049818818,2
1869.6870049825184,4
1869.6871049831425,3
1869.687204983754,1
1869.6873049843534,1
1869.6874049849412,0
1869.687504985517,0
1869.6876049860816,3
1869.6877049866353,1
1869.6878049871777,0
1869.6879049877095,0
1869.6880049882307,1
1869.6881049887415,0
1869.6882049892424,0
1869.6883049897333,1
1869.6884049902142,0
1869.688504990686,1
1869.6886049911482,3
1869.6887049916013,1
1869.6888049920453,1
1869.6889049924807,0
1869.6890049929075,0
1869.6891049933258,0
1869.6892049937358,0
1869.6893049941377,1
1869.6894049945315,1
1869.6895049949176,0
1869.6896049952961,2
1869.6897049956672,1
1869.689804996031,1
1869.6899049963872,0
1869.6900049967367,0
1869.690104997079,0
1869.6902049974146,0
1869.6903049977436,0
1869.6904049980662,0
1869.6905049983823,1
1869.6906049986924,1
1869.690704998996,0
1869.6908049992937,0
1869.6909049995857,0
1869.6910049998714,0
1869.691105000152,1
1869.6912050004266,1
1869.691305000696,0
1869.69140500096,0
1869.691505001219,0
1869.691605001473,0
1869.6917050017214,2
1869.6918050019651,0
1869.691905002204,0
1869.6920050024382,0
1869.6921050026676,0
1869.6922050028927,0
1869.6923050031132,0
1869.6924050033294,0
1869.6925050035416,0
1869.6926050037491,0
1869.6927050039528,0
1869.6928050041524,0
1869.6929050043477,0
1869.6930050045396,0
1869.6931050047274,0
1869.6932050049118,0
